models,abilities,model_droped
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.460221,kmeans_n_clusters_4
kmeans_n_clusters_8,0.45378196,kmeans_n_clusters_4
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.45248413,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.4517844,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.44138998,kmeans_n_clusters_4
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.43954578,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.43345365,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.42787445,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.4231913,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.42031825,kmeans_n_clusters_4
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5523469,kmeans_n_clusters_5
kmeans_n_clusters_2,0.55149186,kmeans_n_clusters_5
kmeans_n_clusters_3,0.54618865,kmeans_n_clusters_5
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5372237,kmeans_n_clusters_5
mean_shift_,0.5297708,kmeans_n_clusters_5
optics_,0.5217839,kmeans_n_clusters_5
kmeans_n_clusters_1,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_3_min_samples_2,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_2_min_samples_2,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_1_min_samples_2,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_8_min_samples_2,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_9_min_samples_2,0.5202662,kmeans_n_clusters_5
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.5202662,kmeans_n_clusters_5
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_7_min_samples_2,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_6_min_samples_2,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_5_min_samples_2,0.5202662,kmeans_n_clusters_5
dbscan_eps_np_float640_4_min_samples_2,0.5202662,kmeans_n_clusters_5
kmeans_n_clusters_4,0.5071038,kmeans_n_clusters_5
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49099883,kmeans_n_clusters_5
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.48878857,kmeans_n_clusters_5
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47446427,kmeans_n_clusters_5
kmeans_n_clusters_6,0.46892354,kmeans_n_clusters_5
kmeans_n_clusters_7,0.46484134,kmeans_n_clusters_5
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.46121734,kmeans_n_clusters_5
kmeans_n_clusters_8,0.45530227,kmeans_n_clusters_5
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.45333293,kmeans_n_clusters_5
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.45313188,kmeans_n_clusters_5
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.44245175,kmeans_n_clusters_5
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.440172,kmeans_n_clusters_5
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.4344407,kmeans_n_clusters_5
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.42860913,kmeans_n_clusters_5
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.42348045,kmeans_n_clusters_5
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.42080042,kmeans_n_clusters_5
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5474573,kmeans_n_clusters_6
kmeans_n_clusters_2,0.54665184,kmeans_n_clusters_6
kmeans_n_clusters_5,0.54177916,kmeans_n_clusters_6
kmeans_n_clusters_3,0.541578,kmeans_n_clusters_6
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5328395,kmeans_n_clusters_6
mean_shift_,0.52471656,kmeans_n_clusters_6
optics_,0.5168168,kmeans_n_clusters_6
kmeans_n_clusters_1,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_2_min_samples_2,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_1_min_samples_2,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_8_min_samples_2,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_9_min_samples_2,0.51535505,kmeans_n_clusters_6
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_7_min_samples_2,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_3_min_samples_2,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_6_min_samples_2,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_5_min_samples_2,0.51535505,kmeans_n_clusters_6
dbscan_eps_np_float640_4_min_samples_2,0.51535505,kmeans_n_clusters_6
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.51535505,kmeans_n_clusters_6
kmeans_n_clusters_4,0.50325954,kmeans_n_clusters_6
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.4873148,kmeans_n_clusters_6
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.4850677,kmeans_n_clusters_6
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47120148,kmeans_n_clusters_6
kmeans_n_clusters_7,0.4618768,kmeans_n_clusters_6
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.45816892,kmeans_n_clusters_6
kmeans_n_clusters_8,0.45252547,kmeans_n_clusters_6
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4504912,kmeans_n_clusters_6
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.45042628,kmeans_n_clusters_6
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.43967375,kmeans_n_clusters_6
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4378379,kmeans_n_clusters_6
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.43195328,kmeans_n_clusters_6
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.42635646,kmeans_n_clusters_6
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.4213581,kmeans_n_clusters_6
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.4185953,kmeans_n_clusters_6
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.54751194,kmeans_n_clusters_7
kmeans_n_clusters_2,0.5466988,kmeans_n_clusters_7
kmeans_n_clusters_5,0.54181427,kmeans_n_clusters_7
kmeans_n_clusters_3,0.5415958,kmeans_n_clusters_7
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.53285646,kmeans_n_clusters_7
mean_shift_,0.52461827,kmeans_n_clusters_7
optics_,0.51673394,kmeans_n_clusters_7
kmeans_n_clusters_1,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_2_min_samples_2,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_1_min_samples_2,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_8_min_samples_2,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_9_min_samples_2,0.5152695,kmeans_n_clusters_7
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_7_min_samples_2,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_3_min_samples_2,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_6_min_samples_2,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_5_min_samples_2,0.5152695,kmeans_n_clusters_7
dbscan_eps_np_float640_4_min_samples_2,0.5152695,kmeans_n_clusters_7
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5152695,kmeans_n_clusters_7
kmeans_n_clusters_4,0.50312877,kmeans_n_clusters_7
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.48729882,kmeans_n_clusters_7
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.48497072,kmeans_n_clusters_7
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47115874,kmeans_n_clusters_7
kmeans_n_clusters_6,0.46565244,kmeans_n_clusters_7
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.45814803,kmeans_n_clusters_7
kmeans_n_clusters_8,0.45223498,kmeans_n_clusters_7
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.45036206,kmeans_n_clusters_7
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.45017785,kmeans_n_clusters_7
